Untitled1.acq
Graph Created on: 2024-11-12 11:02:41.566
Recording on: 2024-11-12 11:03:42.061
0.5 msec/sample
1 channels
ppg - PPG, X, PPGED-R
Volts
milliSec	CH1	
	51309 samples	
0	-0.520325	
0.5	-0.515747	
1	-0.513306	
1.5	-0.511169	
2	-0.506287	
2.5	-0.500793	
3	-0.498962	
3.5	-0.4953	
4	-0.491333	
4.5	-0.48584	
5	-0.481873	
5.5	-0.478516	
6	-0.476379	
6.5	-0.471497	
7	-0.466614	
7.5	-0.462341	
8	-0.459595	
8.5	-0.456543	
9	-0.45166	
9.5	-0.446777	
10	-0.4422	
10.5	-0.440063	
11	-0.437012	
11.5	-0.431824	
12	-0.427551	
12.5	-0.422363	
13	-0.41748	
13.5	-0.413208	
14	-0.410156	
14.5	-0.40741	
15	-0.403137	
15.5	-0.39917	
16	-0.393982	
16.5	-0.388794	
17	-0.383606	
17.5	-0.379333	
18	-0.376892	
18.5	-0.373535	
19	-0.369263	
19.5	-0.364075	
20	-0.359802	
20.5	-0.354614	
21	-0.349426	
21.5	-0.344543	
22	-0.339661	
22.5	-0.334778	
23	-0.331726	
23.5	-0.329285	
24	-0.324707	
24.5	-0.319824	
25	-0.315247	
25.5	-0.309753	
26	-0.305481	
26.5	-0.300598	
27	-0.29541	
27.5	-0.290833	
28	-0.285339	
28.5	-0.280457	
29	-0.276489	
29.5	-0.271301	
30	-0.265808	
30.5	-0.263062	
31	-0.260315	
31.5	-0.256042	
32	-0.251465	
32.5	-0.247498	
33	-0.241394	
33.5	-0.236816	
34	-0.232849	
34.5	-0.227356	
35	-0.221863	
35.5	-0.21759	
36	-0.212097	
36.5	-0.207214	
37	-0.202637	
37.5	-0.197449	
38	-0.193176	
38.5	-0.187988	
39	-0.183105	
39.5	-0.178223	
40	-0.172729	
40.5	-0.167847	
41	-0.162964	
41.5	-0.158386	
42	-0.154114	
42.5	-0.148621	
43	-0.143433	
43.5	-0.139465	
44	-0.133667	
44.5	-0.129395	
45	-0.126038	
45.5	-0.123596	
46	-0.119019	
46.5	-0.114441	
47	-0.109558	
47.5	-0.10437	
48	-0.0991821	
48.5	-0.0949097	
49	-0.0900269	
49.5	-0.085144	
50	-0.0799561	
50.5	-0.0753784	
51	-0.0708008	
51.5	-0.0656128	
52	-0.06073	
52.5	-0.0558472	
53	-0.0506592	
53.5	-0.0460815	
54	-0.0411987	
54.5	-0.0372314	
55	-0.0311279	
55.5	-0.0265503	
56	-0.0216675	
56.5	-0.0170898	
57	-0.012207	
57.5	-0.00762939	
58	-0.00366211	
58.5	-0.00152588	
59	0.00274658	
59.5	0.00701904	
60	0.0128174	
60.5	0.0170898	
61	0.0219727	
61.5	0.0265503	
62	0.0323486	
62.5	0.0369263	
63	0.0418091	
63.5	0.0473022	
64	0.0515747	
64.5	0.0564575	
65	0.06073	
65.5	0.0628662	
66	0.065918	
66.5	0.071106	
67	0.0759888	
67.5	0.0802612	
68	0.085144	
68.5	0.0900269	
69	0.09552	
69.5	0.100098	
70	0.10498	
70.5	0.108948	
71	0.111389	
71.5	0.114746	
72	0.119019	
72.5	0.124207	
73	0.129395	
73.5	0.133972	
74	0.13916	
74.5	0.143433	
75	0.145569	
75.5	0.149231	
76	0.153198	
76.5	0.158997	
77	0.162964	
77.5	0.168152	
78	0.172119	
78.5	0.174561	
79	0.178833	
79.5	0.1828	
80	0.187988	
80.5	0.192566	
81	0.197754	
81.5	0.201111	
82	0.203552	
82.5	0.20752	
83	0.212402	
83.5	0.21759	
84	0.221252	
84.5	0.223389	
85	0.227356	
85.5	0.231934	
86	0.236511	
86.5	0.241699	
87	0.24292	
87.5	0.245972	
88	0.25177	
88.5	0.256042	
89	0.26001	
89.5	0.263062	
90	0.265808	
90.5	0.270996	
91	0.275879	
91.5	0.280457	
92	0.281677	
92.5	0.285645	
93	0.290833	
93.5	0.294495	
94	0.296936	
94.5	0.299988	
95	0.304871	
95.5	0.309448	
96	0.31189	
96.5	0.314636	
97	0.320129	
97.5	0.323792	
98	0.325928	
98.5	0.329895	
99	0.333862	
99.5	0.335999	
100	0.339966	
100.5	0.343628	
101	0.349121	
101.5	0.350037	
102	0.354614	
102.5	0.358887	
