Filename,Fused_MSE,Baseline_pleth2_MSE
s10_run.csv,2241.3315,2274.4513
s10_sit.csv,922.0470,921.1246
s10_walk.csv,16129.2637,15262.6306
s11_run.csv,14801.7826,15293.6285
s11_sit.csv,3451.2529,3056.2018
s11_walk.csv,16443.9239,15716.1238
s12_run.csv,3295.2859,3239.2994
s12_sit.csv,1105.4184,954.2304
s12_walk.csv,13609.0338,13656.4447
s13_run.csv,729.7146,598.7520
s13_sit.csv,1025.1810,868.8380
s13_walk.csv,2700305.0786,2669175.6109
s14_run.csv,2519.3237,2400.6843
s14_sit.csv,735750.5754,1466735.0231
s14_walk.csv,27028.7374,27713.3542
s15_run.csv,1171.1340,716.9445
s15_sit.csv,2861.1983,1145.3411
s16_run.csv,8132.5275,8770.7925
s16_sit.csv,6474.8693,6485.7379
s16_walk.csv,6192.6624,6636.5550
s17_run.csv,1627.6317,2509.1313
s17_sit.csv,9376.6606,9979.0842
s17_walk.csv,753.9036,758.1767
s18_run.csv,845.3544,701.3664
s18_sit.csv,878.7031,931.7318
s18_walk.csv,1635.0959,2121.2645
s19_run.csv,5248.2340,5443.6403
s19_sit.csv,1300.8047,1682.7332
s1_run.csv,2558.7100,907.5990
s1_sit.csv,nan,nan
s1_walk.csv,3794.6430,5091.1494
s20_run.csv,6664.8860,6660.7228
s20_sit.csv,3154.0178,3236.6851
s20_walk.csv,21264.6521,21298.6144
s21_run.csv,683.9901,950.5556
s21_sit.csv,4306.9782,4552.8402
s21_walk.csv,561.3868,602.7169
s22_run.csv,627.4665,620.2279
s22_sit.csv,880.7074,862.4748
s22_walk.csv,842.6842,851.6735
s2_run.csv,5094.0569,5354.9250
s2_sit.csv,616.9681,809.8765
s2_walk.csv,14335.6835,15955.9973
s3_run.csv,2080.8810,2364.1316
s3_sit.csv,5672.4510,5465.2435
s3_walk.csv,7047.7406,7090.3001
s4_run.csv,1243.0618,1068.4209
s4_sit.csv,980.2323,981.9848
s4_walk.csv,2081.3123,2314.8138
s5_run.csv,1318.8763,1130.0988
s5_sit.csv,1021.1079,1083.9290
s5_walk.csv,1455.3816,1575.0036
s6_sit.csv,2108.4162,2294.8667
s6_walk.csv,11801.5876,11845.3535
s7_run.csv,792.5477,776.5846
s7_sit.csv,4352.4891,4446.4245
s7_walk.csv,13426.3596,13625.7309
s8_run.csv,44273.1047,47030.1346
s8_sit.csv,4673.9379,3670.1596
s8_walk.csv,20994.2924,26490.8502
s9_run.csv,16120.7254,14729.6634
s9_sit.csv,9766.4247,10164.5225
s9_walk.csv,16079.5726,15087.0463

==========================
OVERALL EVALUATION RESULTS
==========================
Mean MSE (Fused vs GT):   61589.26
Mean MSE (pleth_2 vs GT): 73011.94
