Untitled1.acq
Graph Created on: 2025-02-21 11:01:03.020
Recording on: 2025-02-21 11:05:38.634
0.5 msec/sample
1 channels
PPG, X, PPGED-R
Volts
milliSec	CH1	
	85351 samples	
0	-0.0512695	
0.5	-0.0509644	
1	-0.0518799	
1.5	-0.0512695	
2	-0.0512695	
2.5	-0.0506592	
3	-0.0509644	
3.5	-0.0512695	
4	-0.0518799	
4.5	-0.0515747	
5	-0.0515747	
5.5	-0.0515747	
6	-0.0512695	
6.5	-0.0515747	
7	-0.0527954	
7.5	-0.0552368	
8	-0.0561523	
8.5	-0.0564575	
9	-0.0558472	
9.5	-0.0558472	
10	-0.0561523	
10.5	-0.0564575	
11	-0.0561523	
11.5	-0.0561523	
12	-0.0567627	
12.5	-0.0564575	
13	-0.0561523	
13.5	-0.0561523	
14	-0.0561523	
14.5	-0.0561523	
15	-0.0558472	
15.5	-0.0561523	
16	-0.0558472	
16.5	-0.0561523	
17	-0.0564575	
17.5	-0.0558472	
18	-0.0558472	
18.5	-0.0558472	
19	-0.0561523	
19.5	-0.0558472	
20	-0.0561523	
20.5	-0.0564575	
21	-0.0558472	
21.5	-0.0552368	
22	-0.055542	
22.5	-0.0561523	
23	-0.0564575	
23.5	-0.0558472	
24	-0.0564575	
24.5	-0.0561523	
25	-0.0561523	
25.5	-0.0558472	
26	-0.0558472	
26.5	-0.0564575	
27	-0.0561523	
27.5	-0.0561523	
28	-0.0570679	
28.5	-0.0564575	
29	-0.0561523	
29.5	-0.0561523	
30	-0.0558472	
30.5	-0.0558472	
31	-0.0561523	
31.5	-0.0561523	
32	-0.0564575	
32.5	-0.0561523	
33	-0.0564575	
33.5	-0.0564575	
34	-0.055542	
34.5	-0.0564575	
35	-0.0561523	
35.5	-0.0576782	
36	-0.0598145	
36.5	-0.0610352	
37	-0.0613403	
37.5	-0.0613403	
38	-0.0610352	
38.5	-0.0610352	
39	-0.0616455	
39.5	-0.0613403	
40	-0.0610352	
40.5	-0.06073	
41	-0.0604248	
41.5	-0.0613403	
42	-0.0616455	
42.5	-0.0613403	
43	-0.0604248	
43.5	-0.0610352	
44	-0.06073	
44.5	-0.0616455	
45	-0.0616455	
45.5	-0.0613403	
46	-0.06073	
46.5	-0.0613403	
47	-0.0613403	
47.5	-0.0610352	
48	-0.0613403	
48.5	-0.0610352	
49	-0.0616455	
49.5	-0.0616455	
50	-0.0610352	
50.5	-0.0619507	
51	-0.06073	
51.5	-0.0619507	
52	-0.0610352	
52.5	-0.0613403	
53	-0.0616455	
53.5	-0.0610352	
54	-0.0610352	
