Untitled1.acq
Graph Created on: 2025-02-21 11:01:03.020
Recording on: 2025-02-21 11:50:29.300
0.5 msec/sample
1 channels
PPG, X, PPGED-R
Volts
milliSec	CH1	
	128016 samples	
0	0.0125122	
0.5	0.0100708	
1	0.00762939	
1.5	0.00793457	
2	0.00762939	
2.5	0.00701904	
3	0.00762939	
3.5	0.00732422	
4	0.00671387	
4.5	0.00701904	
5	0.00701904	
5.5	0.00579834	
6	0.00335693	
6.5	0.00274658	
7	0.00244141	
7.5	0.00305176	
8	0.00244141	
8.5	0.00305176	
9	0.00213623	
9.5	0.00213623	
10	0.00274658	
10.5	0.000305176	
11	-0.00213623	
11.5	-0.00244141	
12	-0.00213623	
12.5	-0.00274658	
13	-0.00274658	
13.5	-0.00244141	
14	-0.00274658	
14.5	-0.00213623	
15	-0.00244141	
15.5	-0.00427246	
16	-0.00671387	
16.5	-0.00701904	
17	-0.00671387	
17.5	-0.00732422	
18	-0.00793457	
18.5	-0.00671387	
19	-0.00732422	
19.5	-0.00701904	
20	-0.00701904	
20.5	-0.00976563	
21	-0.0119019	
21.5	-0.012207	
22	-0.012207	
22.5	-0.0128174	
23	-0.0119019	
23.5	-0.0119019	
24	-0.0125122	
24.5	-0.0125122	
25	-0.0125122	
25.5	-0.0115967	
26	-0.0143433	
26.5	-0.0167847	
27	-0.0164795	
27.5	-0.0167847	
28	-0.017395	
28.5	-0.017395	
29	-0.0177002	
29.5	-0.0167847	
30	-0.0170898	
30.5	-0.0177002	
31	-0.0167847	
31.5	-0.0189209	
32	-0.020752	
32.5	-0.0216675	
33	-0.0219727	
33.5	-0.0219727	
34	-0.0216675	
34.5	-0.0222778	
35	-0.0219727	
35.5	-0.0228882	
36	-0.022583	
36.5	-0.0216675	
37	-0.0231934	
37.5	-0.0265503	
38	-0.0271606	
38.5	-0.0271606	
39	-0.0268555	
39.5	-0.0268555	
40	-0.0268555	
40.5	-0.0265503	
41	-0.0265503	
41.5	-0.0268555	
42	-0.0271606	
42.5	-0.0286865	
43	-0.0308228	
43.5	-0.0314331	
44	-0.0314331	
44.5	-0.0317383	
45	-0.0314331	
45.5	-0.0314331	
46	-0.0314331	
46.5	-0.0317383	
47	-0.0317383	
47.5	-0.0311279	
48	-0.0314331	
48.5	-0.0335693	
49	-0.0360107	
49.5	-0.0363159	
50	-0.0366211	
50.5	-0.0375366	
51	-0.0363159	
51.5	-0.0366211	
52	-0.0363159	
52.5	-0.0369263	
53	-0.0369263	
53.5	-0.0366211	
54	-0.0363159	
54.5	-0.0369263	
55	-0.0375366	
55.5	-0.039978	
56	-0.0415039	
56.5	-0.0411987	
57	-0.0411987	
57.5	-0.0415039	
58	-0.0415039	
58.5	-0.0418091	
59	-0.0415039	
59.5	-0.0415039	
60	-0.0411987	
60.5	-0.0415039	
61	-0.0418091	
61.5	-0.0424194	
62	-0.0454712	
62.5	-0.0463867	
63	-0.0463867	
63.5	-0.0466919	
64	-0.0463867	
64.5	-0.0466919	
65	-0.0463867	
65.5	-0.0463867	
66	-0.0463867	
66.5	-0.0466919	
67	-0.0463867	
67.5	-0.0463867	
68	-0.0476074	
68.5	-0.050354	
69	-0.0509644	
69.5	-0.0518799	
70	-0.0512695	
70.5	-0.0512695	
71	-0.0512695	
71.5	-0.0512695	
72	-0.0512695	
72.5	-0.0509644	
73	-0.0509644	
73.5	-0.0515747	
74	-0.0518799	
74.5	-0.0521851	
75	-0.0527954	
75.5	-0.0546265	
76	-0.0561523	
76.5	-0.0561523	
77	-0.0561523	
77.5	-0.0561523	
78	-0.0564575	
78.5	-0.0567627	
79	-0.0561523	
79.5	-0.0564575	
80	-0.0564575	
80.5	-0.0558472	
81	-0.0564575	
81.5	-0.057373	
82	-0.0595093	
82.5	-0.0604248	
83	-0.0616455	
83.5	-0.0613403	
84	-0.0610352	
84.5	-0.0613403	
85	-0.0616455	
85.5	-0.0610352	
86	-0.0610352	
86.5	-0.0616455	
87	-0.06073	
87.5	-0.0610352	
88	-0.0619507	
88.5	-0.0616455	
89	-0.0650024	
89.5	-0.065918	
90	-0.0662231	
90.5	-0.0656128	
91	-0.065918	
91.5	-0.0665283	
92	-0.0665283	
92.5	-0.0656128	
93	-0.0662231	
93.5	-0.0662231	
94	-0.065918	
94.5	-0.0665283	
95	-0.0665283	
95.5	-0.0665283	
96	-0.0692749	
96.5	-0.0708008	
97	-0.0708008	
97.5	-0.071106	
98	-0.0708008	
98.5	-0.0714111	
99	-0.071106	
99.5	-0.071106	
100	-0.0714111	
100.5	-0.071106	
101	-0.071106	
101.5	-0.0708008	
102	-0.0708008	
102.5	-0.071106	
103	-0.071106	
103.5	-0.0738525	
104	-0.0756836	
104.5	-0.0762939	
105	-0.0765991	
105.5	-0.0759888	
106	-0.0759888	
106.5	-0.0756836	
107	-0.0765991	
107.5	-0.0765991	
108	-0.0762939	
108.5	-0.0759888	
109	-0.0762939	
109.5	-0.0759888	
110	-0.0759888	
110.5	-0.0756836	
111	-0.078125	
111.5	-0.0805664	
112	-0.0799561	
112.5	-0.0805664	
113	-0.0808716	
113.5	-0.0811768	
114	-0.0805664	
114.5	-0.0808716	
115	-0.0808716	
115.5	-0.0808716	
116	-0.0802612	
116.5	-0.0808716	
117	-0.0808716	
117.5	-0.0814819	
118	-0.0805664	
118.5	-0.083313	
119	-0.0854492	
119.5	-0.0854492	
120	-0.0863647	
120.5	-0.0857544	
121	-0.0857544	
121.5	-0.0860596	
122	-0.0866699	
122.5	-0.0854492	
123	-0.0860596	
123.5	-0.0857544	
124	-0.0857544	
124.5	-0.0866699	
125	-0.0857544	
125.5	-0.0857544	
126	-0.0881958	
126.5	-0.0900269	
127	-0.0906372	
127.5	-0.090332	
128	-0.090332	
128.5	-0.0906372	
129	-0.090332	
129.5	-0.0900269	
130	-0.090332	
130.5	-0.0906372	
131	-0.0900269	
131.5	-0.090332	
132	-0.090332	
132.5	-0.0900269	
133	-0.0906372	
133.5	-0.090332	
134	-0.0924683	
134.5	-0.0949097	
135	-0.0952148	
135.5	-0.09552	
136	-0.0952148	
136.5	-0.0952148	
137	-0.0958252	
137.5	-0.09552	
138	-0.0952148	
138.5	-0.09552	
139	-0.09552	
139.5	-0.09552	
140	-0.0952148	
140.5	-0.09552	
141	-0.0952148	
141.5	-0.0952148	
142	-0.0973511	
142.5	-0.0985718	
143	-0.0997925	
143.5	-0.100098	
144	-0.100403	
144.5	-0.100403	
145	-0.0997925	
145.5	-0.100098	
146	-0.100403	
146.5	-0.100098	
147	-0.100098	
147.5	-0.100403	
148	-0.100403	
148.5	-0.100098	
149	-0.0997925	
149.5	-0.100098	
150	-0.100403	
150.5	-0.102234	
151	-0.104675	
151.5	-0.104675	
152	-0.104675	
152.5	-0.105896	
153	-0.104675	
153.5	-0.10498	
154	-0.105286	
154.5	-0.10498	
155	-0.10437	
155.5	-0.10437	
156	-0.10498	
156.5	-0.105286	
157	-0.104675	
157.5	-0.10498	
158	-0.105286	
158.5	-0.105591	
159	-0.10498	
159.5	-0.106812	
160	-0.109863	
160.5	-0.110168	
161	-0.110168	
161.5	-0.109558	
